id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	score<Avg. pub. year>
334	"van hage, patrick"	0.8075	-0.0857	23	7	7	1	2019
335	"velki, mirna"	0.0818	-0.2517	11	6	6	1	2017
336	"vieira, luís russo"	-0.7063	0.6632	6	7	10	3	2018.3333
337	"vijver, martina g."	0.7538	-0.0562	23	7	7	1	2019
338	"vink, suzanne c."	0.7691	-0.0921	23	7	7	1	2019
339	"vliet, sara m. f."	0.1995	1.057	40	4	4	1	2020
340	"volz, david c."	0.1717	1.0616	40	4	4	1	2020
341	"wan, zepeng"	0.9834	-0.2652	24	7	7	1	2021
342	"wan, zhiqin"	-0.4329	-0.5008	3	6	6	1	2019
343	"wang, caiyun"	-0.4332	-0.4658	3	6	6	1	2019
344	"wang, chuyu"	0.6526	0.7638	33	5	5	1	2020
345	"wang, degao"	0.8173	0.1728	34	5	5	1	2019
346	"wang, hui"	-0.5049	-0.3907	3	4	4	1	2021
347	"wang, qiyu"	-0.6613	-0.4943	3	8	8	1	2020
348	"wang, se"	0.7952	0.1521	34	5	5	1	2019
349	"wang, weiye"	0.1659	-0.1139	11	5	5	1	2020
350	"wang, xiaoyu"	-0.4911	-0.4961	3	6	6	1	2019
351	"wang, yonghua"	-0.3893	0.1139	30	6	6	1	2021
352	"wang, yunqing"	0.6035	0.7943	33	5	5	1	2020
353	"wang, zhenyu"	-0.2265	-0.3797	15	8	14	2	2020.5
354	"wang, zhuang"	0.791	0.1881	34	5	5	1	2019
355	"wasel, ola"	0.5631	0.1352	35	5	5	1	2020
356	"wei, wenzhi"	0.1421	0.8659	37	5	5	1	2020
357	"wen, bin"	0.4775	-0.5745	22	7	7	1	2018
358	"westberg, emelie"	-0.6598	0.3721	5	5	5	1	2020
359	"wiesner, mark"	-0.5025	-0.8524	14	8	8	1	2018
360	"wu, dong"	-1.0312	0.1214	8	11	11	1	2021
361	"wu, donghai"	-0.3574	0.1275	30	6	6	1	2021
362	"wu, fan"	-0.9133	-0.3281	20	5	5	1	2019
363	"xia, bin"	-0.9493	-0.2405	20	4	4	1	2018
364	"xia, mengli"	1.0413	-0.2828	24	7	7	1	2021
